32123
7.75 , 0, 20597
11 , 0, 15652
4.75 , 0, 18732
10.25 , 0, 6322
5 , 0, 4145
11.75 , 0, 28734
150.5 , 0, 0
5.5 , 1, 6268
5.5 , 1, 7394
11.75 , 1, 12931
5 , 1, 30109
7.5 , 1, 502
0.75 , 1, 13683
12 , 1, 194
3.75 , 1, 14895
6.25 , 1, 27699
158 , 1, 1
2.5 , 2, 9606
2.25 , 2, 16058
10.75 , 2, 27047
6.5 , 2, 16683
2 , 2, 1043
4.25 , 2, 15400
8.25 , 2, 23215
4.25 , 2, 24029
140.75 , 2, 2
6.75 , 3, 28439
4.75 , 3, 10223
11 , 3, 23606
5.5 , 3, 31150
0.75 , 3, 21012
128.75 , 3, 3
2.5 , 4, 2706
1 , 4, 1006
3.5 , 4, 26853
1 , 4, 15500
10.5 , 4, 20669
8.5 , 4, 3279
6.5 , 4, 28461
6.5 , 4, 18570
3.75 , 4, 26044
143.75 , 4, 4
7 , 5, 17810
5.75 , 5, 8726
112.75 , 5, 5
10.75 , 6, 4377
9 , 6, 24066
3.75 , 6, 3895
10 , 6, 23444
133.5 , 6, 6
4.5 , 7, 14538
104.5 , 7, 7
11 , 8, 12708
11.75 , 8, 27520
2.75 , 8, 15487
8.5 , 8, 50
6.75 , 8, 1755
5.75 , 8, 7028
3.5 , 8, 16145
10 , 8, 27754
160 , 8, 8
1 , 9, 3206
8.25 , 9, 19933
5.75 , 9, 22890
115 , 9, 9
8.25 , 10, 18
11 , 10, 25766
6.25 , 10, 24009
0.75 , 10, 12303
3.75 , 10, 30014
5.25 , 10, 7904
1.25 , 10, 8461
10.5 , 10, 22631
9.25 , 10, 11552
156.25 , 10, 10
6.25 , 11, 17150
3.25 , 11, 18109
3.25 , 11, 11069
112.75 , 11, 11
1.75 , 12, 32091
12.25 , 12, 27502
9 , 12, 17845
12.25 , 12, 17549
9 , 12, 31618
2.5 , 12, 19886
4 , 12, 30672
7.25 , 12, 26768
158 , 12, 12
2.75 , 13, 20495
8 , 13, 11440
8 , 13, 18260
3.75 , 13, 25195
5.25 , 13, 14972
7.25 , 13, 11293
7.25 , 13, 12910
142.25 , 13, 13
8.75 , 14, 19083
8.75 , 14, 27552
6 , 14, 126
